corridor,state,slope_angle_deg,elevation_m,geology,rainfall_24h_mm,rainfall_72h_accum_mm,soil_saturation_pct,road_curvature_index,drainage_capacity_score,vegetation_loss_index,historical_landslides,heavy_truck_intensity,disruption_prob,disruption_occurred,hazard_type,clearance_time_hours
NH-208,Tripura,26.14,351.2,Fractured Shale,28.63,84.83,40.8,4.8,6.2,0.162,0,1295,0.0435,0,None,0.0
NH-27,Assam,13.05,281.8,Limestone Karst,54.9,155.97,52.3,4.4,5.7,0.667,1,1414,0.3367,0,None,0.0
NH-13,Arunachal Pradesh,54.19,1923.2,Gneiss-Schist,1.65,26.66,8.4,8.6,5.6,0.18,4,584,0.5673,1,Road Subsidence & Edge Collapse,15.0
NH-208,Tripura,18.53,119.3,Alluvial Silt,62.91,229.4,44.7,4.4,5.8,0.435,0,756,0.5756,1,Tree Fall & Rock Obstruction,2.6
NH-10,Sikkim,33.61,1391.6,Gneiss-Schist,2.6,40.61,5.1,2.1,5.7,0.277,0,490,0.0375,0,None,0.0
NH-715,Assam,9.41,50.0,Fractured Shale,86.29,272.15,72.6,7.0,3.6,0.324,1,1454,0.8788,0,None,0.0
NH-13,Arunachal Pradesh,54.37,1981.5,Fractured Shale,2.95,44.24,9.9,6.8,4.0,0.108,3,1643,0.6617,0,None,0.0
NH-13,Arunachal Pradesh,51.08,1872.3,Alluvial Silt,0.69,21.33,30.4,10.0,7.6,0.165,2,1452,0.3524,0,None,0.0
NH-208,Tripura,25.68,376.3,Sandstone-Siltstone,4.74,18.51,32.0,4.2,4.8,0.489,0,873,0.0198,0,None,0.0
NH-29,Nagaland,44.62,1770.8,Sandstone-Siltstone,1.93,27.95,41.6,5.3,3.4,0.66,3,1031,0.6267,1,Tree Fall & Rock Obstruction,5.8
NH-10,Sikkim,38.72,1137.6,Sandstone-Siltstone,20.84,89.84,37.2,5.2,7.3,0.536,5,1060,0.708,1,Road Subsidence & Edge Collapse,14.8
NH-208,Tripura,12.83,349.8,Fractured Shale,3.73,12.36,24.9,4.3,4.1,0.583,4,1431,0.01,0,None,0.0
NH-10,Sikkim,45.67,310.4,Fractured Shale,96.87,267.85,62.3,7.6,6.7,0.283,5,1501,0.99,1,Major Landslide / Rockfall,26.3
NH-10,Sikkim,29.96,1598.3,Gneiss-Schist,76.55,199.21,35.6,5.7,3.4,0.336,0,1017,0.8685,1,Tree Fall & Rock Obstruction,1.5
NH-715,Assam,25.88,50.0,Fractured Shale,0.23,17.77,6.6,2.8,1.4,0.583,0,1252,0.01,0,None,0.0
NH-13,Arunachal Pradesh,52.87,2242.5,Fractured Shale,44.4,145.44,35.4,2.2,4.2,0.182,3,1403,0.99,1,Tree Fall & Rock Obstruction,0.2
NH-27,Assam,19.98,50.0,Sandstone-Siltstone,41.31,87.77,36.4,2.2,3.2,0.495,1,908,0.1536,0,None,0.0
NH-715,Assam,8.0,513.7,Gneiss-Schist,13.58,33.55,16.4,9.9,4.4,0.483,0,793,0.01,0,None,0.0
NH-715,Assam,23.09,50.0,Fractured Shale,60.16,202.11,45.4,8.4,4.3,0.373,1,1390,0.7704,1,Tree Fall & Rock Obstruction,3.8
NH-10,Sikkim,59.5,1642.3,Fractured Shale,1.04,20.81,36.1,5.3,5.7,0.595,4,1739,0.933,1,Road Subsidence & Edge Collapse,17.9
NH-102,Manipur,23.41,1068.9,Limestone Karst,7.13,39.33,14.7,9.0,4.5,0.486,1,1394,0.0717,0,None,0.0
NH-13,Arunachal Pradesh,55.01,2386.8,Fractured Shale,1.49,27.93,8.2,8.9,5.1,0.458,6,1121,0.8678,1,Road Subsidence & Edge Collapse,16.3
NH-29,Nagaland,42.01,1401.2,Fractured Shale,83.21,273.54,73.3,3.4,1.3,0.553,5,801,0.99,1,Major Landslide / Rockfall,18.9
NH-715,Assam,8.0,50.0,Fractured Shale,10.32,66.31,36.8,2.6,8.9,0.419,4,1076,0.01,0,None,0.0
NH-27,Assam,15.2,359.2,Fractured Shale,69.73,191.64,59.3,5.1,8.5,0.188,0,1889,0.2205,0,None,0.0
NH-102,Manipur,37.42,1043.4,Sandstone-Siltstone,9.43,32.9,14.9,6.1,6.6,0.29,5,1484,0.2086,0,None,0.0
NH-102,Manipur,28.09,1358.5,Alluvial Silt,172.28,548.23,99.0,1.9,6.0,0.432,3,489,0.99,1,Mudslide & Debris Flow,12.2
NH-29,Nagaland,49.58,1441.9,Sandstone-Siltstone,82.2,194.09,64.6,3.1,5.3,0.278,3,755,0.99,1,Major Landslide / Rockfall,18.6
NH-715,Assam,8.0,50.0,Gneiss-Schist,60.94,185.75,44.7,7.3,1.2,0.371,0,1157,0.2551,0,None,0.0
NH-27,Assam,8.0,496.4,Alluvial Silt,12.22,62.53,28.1,7.4,9.5,0.139,0,1359,0.01,0,None,0.0
NH-13,Arunachal Pradesh,50.89,2773.6,Fractured Shale,6.8,35.86,36.6,8.3,2.8,0.419,3,1643,0.8341,1,Tree Fall & Rock Obstruction,3.8
NH-6,Meghalaya,38.17,1402.8,Sandstone-Siltstone,74.59,179.56,40.0,2.7,3.8,0.122,3,1424,0.9696,1,Major Landslide / Rockfall,22.4
NH-27,Assam,8.0,50.0,Gneiss-Schist,70.32,177.33,40.0,3.5,6.6,0.39,3,1449,0.2607,0,None,0.0
NH-29,Nagaland,47.26,1743.2,Fractured Shale,26.59,65.68,23.9,7.4,9.5,0.194,5,1115,0.7006,1,Road Subsidence & Edge Collapse,15.4
NH-102,Manipur,35.45,873.8,Gneiss-Schist,39.47,149.18,44.8,5.1,6.6,0.197,1,929,0.6213,1,Tree Fall & Rock Obstruction,5.0
NH-13,Arunachal Pradesh,55.58,2379.8,Gneiss-Schist,3.15,20.6,7.2,6.2,5.4,0.443,2,1794,0.5618,1,Tree Fall & Rock Obstruction,5.6
NH-27,Assam,11.2,50.0,Sandstone-Siltstone,138.37,259.94,49.3,6.7,4.2,0.39,2,1749,0.9614,1,Flash Flood & Highway Waterlogging,1.5
NH-6,Meghalaya,41.92,1869.2,Fractured Shale,82.97,266.34,57.8,6.9,6.8,0.647,1,1657,0.99,1,Major Landslide / Rockfall,20.8
NH-6,Meghalaya,35.1,1190.2,Fractured Shale,27.23,107.0,40.9,7.2,4.5,0.606,4,1277,0.8195,1,Road Subsidence & Edge Collapse,8.4
NH-10,Sikkim,58.35,1344.2,Sandstone-Siltstone,1.09,3.52,20.0,2.9,3.1,0.074,4,1428,0.7403,1,Road Subsidence & Edge Collapse,23.9
NH-10,Sikkim,39.72,1053.4,Fractured Shale,5.18,36.27,18.0,4.0,1.5,0.216,6,861,0.5266,0,None,0.0
NH-208,Tripura,31.68,50.0,Gneiss-Schist,115.52,237.74,62.7,7.6,6.4,0.349,0,1746,0.9808,1,Tree Fall & Rock Obstruction,4.6
NH-29,Nagaland,42.23,1376.4,Fractured Shale,138.39,386.67,71.9,5.0,7.1,0.059,3,1563,0.99,1,Major Landslide / Rockfall,23.2
NH-715,Assam,8.0,316.6,Gneiss-Schist,111.34,275.34,64.6,10.0,3.5,0.064,1,538,0.8328,1,Flash Flood & Highway Waterlogging,4.1
NH-27,Assam,20.89,355.5,Fractured Shale,1.85,15.68,17.6,7.5,7.0,0.484,0,960,0.01,0,None,0.0
NH-27,Assam,12.82,247.3,Gneiss-Schist,12.98,80.7,42.6,6.6,7.4,0.408,2,1514,0.02,0,None,0.0
NH-715,Assam,20.53,62.6,Alluvial Silt,3.58,25.25,23.3,4.4,1.0,0.338,0,1434,0.0319,0,None,0.0
NH-208,Tripura,25.96,162.1,Alluvial Silt,152.48,437.44,72.8,5.7,1.2,0.293,0,1128,0.99,1,Tree Fall & Rock Obstruction,6.7
NH-102,Manipur,34.2,1219.3,Sandstone-Siltstone,6.73,18.61,5.7,6.2,5.0,0.421,1,979,0.0468,0,None,0.0
NH-102,Manipur,28.15,1228.8,Fractured Shale,46.89,146.11,44.8,6.2,4.3,0.357,0,870,0.517,1,Tree Fall & Rock Obstruction,1.7
NH-208,Tripura,24.34,50.0,Sandstone-Siltstone,30.59,105.74,14.4,8.5,5.1,0.277,0,1138,0.0687,0,None,0.0
NH-102,Manipur,32.0,868.3,Sandstone-Siltstone,3.05,44.96,22.4,6.4,4.1,0.348,1,969,0.0672,0,None,0.0
NH-10,Sikkim,49.46,1132.7,Limestone Karst,103.92,217.74,48.3,6.5,5.1,0.473,8,1191,0.99,1,Major Landslide / Rockfall,9.7
NH-27,Assam,8.0,280.8,Sandstone-Siltstone,227.51,438.09,92.4,8.3,4.6,0.585,2,1279,0.99,1,Flash Flood & Highway Waterlogging,5.5
NH-208,Tripura,20.91,100.0,Gneiss-Schist,16.83,64.93,19.9,5.9,5.3,0.761,0,1203,0.0434,0,None,0.0
NH-27,Assam,8.0,295.8,Gneiss-Schist,9.24,58.67,34.4,5.6,4.8,0.183,1,1078,0.01,0,None,0.0
NH-715,Assam,25.75,50.0,Sandstone-Siltstone,79.14,239.73,53.7,6.1,4.4,0.557,0,1661,0.94,1,Tree Fall & Rock Obstruction,2.1
NH-6,Meghalaya,42.05,1478.0,Sandstone-Siltstone,0.03,0.2,19.6,4.1,9.1,0.498,1,865,0.0615,0,None,0.0
